trade_id,isin,quantity,price,trade_date,settlement_date,side,counter_party,broker_id
BKR000000,JS2665624158,267,312.07,2025-02-24,2025-02-25,Sell,State Street,BRK002
BKR000001,LY0049801248,7467,322.06,2025-05-28,2025-05-31,Buy,Northern Trust,BRK003
BKR000002,QF5297575190,7104,801.17,2025-03-04,2025-03-06,Sell,HDFC Custodian,BRK004
BKR000003,ZQ1716858536,3459,748.74,2025-01-15,2025-01-17,Sell,HDFC Custodian,BRK004
BKR000004,CX4878820103,5060,863.57,2025-02-20,2025-02-21,Sell,BNY Mellon,BRK004
BKR000005,YC9000585923,566,624.22,2025-05-28,2025-05-29,Buy,BNY Mellon,BRK002
BKR000006,DE4806411893,1667,477.21,2025-05-22,2025-05-24,Sell,State Street,BRK003
BKR000007,QQ9341699050,1720,720.14,2025-04-25,2025-04-28,Sell,BNY Mellon,BRK001
BKR000008,HY0233835278,811,579.52,2025-03-30,2025-04-01,Buy,State Street,BRK004
BKR000009,ZL3428100682,9969,123.53,2024-12-27,2024-12-30,Buy,Northern Trust,BRK002
BKR000010,JJ3954487858,3998,250.26,2025-06-09,2025-06-11,Sell,State Street,BRK004
BKR000011,WW8907721642,9897,442.67,2025-05-16,2025-05-19,Buy,BNY Mellon,BRK001
BKR000012,RG7808679370,3084,379.89,2025-05-19,2025-05-21,Sell,Northern Trust,BRK001
BKR000013,LQ9850536738,3371,494.96,2025-06-16,2025-06-17,Buy,Northern Trust,BRK001
BKR000014,WD1483009417,2706,735.08,2025-01-11,2025-01-13,Buy,BNY Mellon,BRK003
BKR000015,AY6574078294,9635,71.12,2025-05-17,2025-05-19,Sell,Northern Trust,BRK003
BKR000016,JZ7951697640,5762,356.74,2025-01-15,2025-01-18,Sell,HDFC Custodian,BRK004
BKR000017,ED5248710269,3875,448.92,2025-05-28,2025-05-31,Sell,HDFC Custodian,BRK001
BKR000018,IC0955042633,2155,593.61,2025-04-23,2025-04-26,Sell,State Street,BRK004
BKR000019,FB6645560095,8331,478.7,2025-05-17,2025-05-19,Sell,HDFC Custodian,BRK001
BKR000020,CP7264506370,729,667.04,2025-02-01,2025-02-02,Sell,BNY Mellon,BRK001
BKR000021,QE5969608367,8877,818.06,2025-02-12,2025-02-13,Sell,Northern Trust,BRK004
BKR000022,AX3614957503,1029,425.27,2025-03-02,2025-03-05,Sell,BNY Mellon,BRK003
BKR000023,PJ1111813708,5052,780.44,2025-04-19,2025-04-22,Sell,Northern Trust,BRK003
BKR000024,GN6340392048,7654,786.56,2025-04-30,2025-05-01,Sell,BNY Mellon,BRK003
BKR000025,HD4546222591,8560,636.57,2025-02-14,2025-02-15,Sell,State Street,BRK003
BKR000026,HT5869186049,1703,82.64,2025-04-17,2025-04-19,Sell,Northern Trust,BRK001
BKR000027,YG2178668593,3304,413.29,2025-03-12,2025-03-15,Buy,Northern Trust,BRK003
BKR000028,MJ6065471768,9412,682.48,2025-01-13,2025-01-16,Sell,HDFC Custodian,BRK003
BKR000029,YQ6484232471,9978,760.36,2025-03-30,2025-04-01,Buy,HDFC Custodian,BRK002
BKR000030,ML9851210368,4122,939.35,2025-04-06,2025-04-09,Sell,BNY Mellon,BRK003
BKR000031,GU8344468037,3659,223.2,2025-03-03,2025-03-05,Buy,HDFC Custodian,BRK001
BKR000032,MW7530613922,5996,257.71,2025-04-14,2025-04-16,Sell,BNY Mellon,BRK003
BKR000033,EJ2820888559,9686,186.23,2025-04-09,2025-04-10,Buy,Northern Trust,BRK002
BKR000034,XO0988878469,3235,753.07,2025-05-19,2025-05-21,Sell,BNY Mellon,BRK004
BKR000035,GE2736686239,7390,193.07,2025-05-29,2025-05-30,Sell,State Street,BRK003
BKR000036,PN8934849077,6281,172.54,2025-02-20,2025-02-23,Sell,Northern Trust,BRK002
BKR000037,WA1194667185,4494,417.92,2025-02-17,2025-02-20,Sell,Northern Trust,BRK004
BKR000038,HX9029493279,9784,923.74,2025-01-03,2025-01-06,Buy,HDFC Custodian,BRK004
BKR000039,BJ9062156511,622,120.55,2025-02-13,2025-02-15,Sell,BNY Mellon,BRK001
BKR000040,PG3673437559,8036,602.52,2025-04-04,2025-04-05,Sell,BNY Mellon,BRK004
BKR000041,JU3952100776,3461,147.22,2025-02-27,2025-03-01,Sell,State Street,BRK003
BKR000042,SP3464350862,1505,558.48,2025-04-17,2025-04-18,Sell,State Street,BRK001
BKR000043,FE4610897100,5148,227.73,2025-04-30,2025-05-01,Sell,Northern Trust,BRK002
BKR000044,TS1093155202,2569,926.7,2025-03-05,2025-03-06,Sell,State Street,BRK001
BKR000045,HQ0318751038,7930,136.41,2025-04-18,2025-04-21,Buy,Northern Trust,BRK003
BKR000046,RC5106532368,462,694.2,2025-01-22,2025-01-25,Buy,State Street,BRK003
BKR000047,EI1135621745,578,728.34,2025-03-06,2025-03-07,Buy,HDFC Custodian,BRK004
BKR000048,JY0426214508,5520,427.51,2025-04-23,2025-04-25,Sell,BNY Mellon,BRK004
BKR000049,QM2725286087,5940,118.28,2025-03-02,2025-03-05,Sell,BNY Mellon,BRK004
BKR000050,OD6437039896,8309,455.18,2025-04-01,2025-04-04,Sell,Northern Trust,BRK003
BKR000051,HL0706571625,3226,245.91,2025-05-24,2025-05-25,Sell,BNY Mellon,BRK002
BKR000052,WK2335713105,5918,734.42,2025-04-22,2025-04-23,Buy,State Street,BRK004
