common_trade_id,trade_id,isin,quantity,price,trade_date,settlement_date,side,counter_party,broker_id,source
F6046V,CST920701,JS2665624158,267,312.07,24-02-2025,25-02-2025,Sell,State Street,BRK002,Custodian
S8302U,CST182608,LY0049801248,7467,322.06,28-05-2025,31-05-2025,Buy,Northern Trust,BRK003,Custodian
W9017L,CST403606,QF5297575190,7104,801.17,04-03-2025,06-03-2025,Sell,HDFC Custodian,BRK004,Custodian
E9667Q,CST343863,ZQ1716858536,3459,748.74,15-01-2025,17-01-2025,Sell,HDFC Custodian,BRK004,Custodian
P7895A,CST957612,CX4878820103,3646,863.57,20-02-2025,21-02-2025,Sell,BNY Mellon,BRK004,Custodian
W3573S,CST285021,EI4540006332,3321,695.91,28-05-2025,29-05-2025,Sell,"Rodriguez, Hall and Adams",BRK002,Custodian
J8662R,CST993740,DE4806411893,1667,477.21,22-05-2025,24-05-2025,Sell,State Street,BRK003,Custodian
Z6457I,CST259346,QQ9341699050,1720,720.14,25-04-2025,28-04-2025,Sell,BNY Mellon,BRK001,Custodian
M1461R,CST663525,HY0233835278,629,579.52,30-03-2025,01-04-2025,Buy,State Street,BRK004,Custodian
C6926G,CST849683,ZL3428100682,7880,123.53,27-12-2024,30-12-2024,Buy,Northern Trust,BRK002,Custodian
K5475H,CST476231,JJ3954487858,3368,250.26,09-06-2025,11-06-2025,Sell,State Street,BRK004,Custodian
A5777J,CST432576,VT2887655924,1127,675.18,16-05-2025,19-05-2025,Sell,"Miller, Hudson and Cole",BRK001,Custodian
P1707I,CST512849,RG7808679370,3084,379.89,19-05-2025,21-05-2025,Sell,Northern Trust,BRK001,Custodian
O7373F,CST993778,LQ9850536738,3371,494.96,16-06-2025,17-06-2025,Buy,Northern Trust,BRK001,Custodian
L9488B,CST422480,WD1483009417,2706,735.08,11-01-2025,13-01-2025,Buy,BNY Mellon,BRK003,Custodian
T9916Y,CST860286,LL7818696144,745,704.47,17-05-2025,19-05-2025,Buy,Kelly LLC,BRK003,Custodian
Y5643U,CST128249,JZ7951697640,5762,356.74,15-01-2025,18-01-2025,Sell,HDFC Custodian,BRK004,Custodian
N1471A,CST517816,ED5248710269,3875,448.92,28-05-2025,31-05-2025,Sell,HDFC Custodian,BRK001,Custodian
L4284W,CST214005,IC0955042633,2155,593.61,23-04-2025,26-04-2025,Sell,State Street,BRK004,Custodian
I1754W,CST218355,LL5867508044,3865,673.34,17-05-2025,19-05-2025,Buy,"Alexander, Rojas and Lopez",BRK001,Custodian
E2048S,CST721499,CP7264506370,729,667.04,01-02-2025,02-02-2025,Sell,BNY Mellon,BRK001,Custodian
E6502O,CST769948,QE5969608367,8877,818.06,12-02-2025,13-02-2025,Sell,Northern Trust,BRK004,Custodian
E7653O,CST531327,AX3614957503,1029,425.27,02-03-2025,05-03-2025,Sell,BNY Mellon,BRK003,Custodian
G6656Q,CST706503,PJ1111813708,5052,780.44,19-04-2025,22-04-2025,Sell,Northern Trust,BRK003,Custodian
R9466R,CST876442,GN6340392048,7654,786.56,30-04-2025,01-05-2025,Sell,BNY Mellon,BRK003,Custodian
L5878V,CST294964,HD4546222591,8560,636.57,14-02-2025,15-02-2025,Sell,State Street,BRK003,Custodian
A8422W,CST870771,HT5869186049,1703,82.64,17-04-2025,19-04-2025,Sell,Northern Trust,BRK001,Custodian
V2375D,CST742649,YG2178668593,3304,413.29,12-03-2025,15-03-2025,Buy,Northern Trust,BRK003,Custodian
I4741Q,CST517411,MJ6065471768,9412,682.48,13-01-2025,16-01-2025,Sell,HDFC Custodian,BRK003,Custodian
R7439N,CST626201,YQ6484232471,8203,760.36,30-03-2025,01-04-2025,Buy,HDFC Custodian,BRK002,Custodian
E1814H,CST895799,ML9851210368,4122,939.35,06-04-2025,09-04-2025,Sell,BNY Mellon,BRK003,Custodian
V8300T,CST220378,GU8344468037,3659,223.2,03-03-2025,05-03-2025,Buy,HDFC Custodian,BRK001,Custodian
P1161V,CST811867,MW7530613922,5996,257.71,14-04-2025,16-04-2025,Sell,BNY Mellon,BRK003,Custodian
D2810T,CST724221,EJ2820888559,9686,186.23,09-04-2025,10-04-2025,Buy,Northern Trust,BRK002,Custodian
W1918W,CST293596,XO0988878469,3235,753.07,19-05-2025,21-05-2025,Sell,BNY Mellon,BRK004,Custodian
I8045E,CST590602,GE2736686239,7390,193.07,29-05-2025,30-05-2025,Sell,State Street,BRK003,Custodian
S1378Z,CST902042,PN8934849077,6281,172.54,20-02-2025,23-02-2025,Sell,Northern Trust,BRK002,Custodian
A6507A,CST290241,WA1194667185,3485,417.92,17-02-2025,20-02-2025,Sell,Northern Trust,BRK004,Custodian
L4965W,CST584402,HX9029493279,9784,923.74,03-01-2025,06-01-2025,Buy,HDFC Custodian,BRK004,Custodian
J8911G,CST376519,BJ9062156511,622,120.55,13-02-2025,15-02-2025,Sell,BNY Mellon,BRK001,Custodian
P4513O,CST385136,PG3673437559,6480,602.52,04-04-2025,05-04-2025,Sell,BNY Mellon,BRK004,Custodian
M9960M,CST256161,JU3952100776,3461,147.22,27-02-2025,01-03-2025,Sell,State Street,BRK003,Custodian
Q2611L,CST114002,SP3464350862,1415,558.48,17-04-2025,18-04-2025,Sell,State Street,BRK001,Custodian
S6961I,CST765741,FE4610897100,3738,227.73,30-04-2025,01-05-2025,Sell,Northern Trust,BRK002,Custodian
Z6774Z,CST770519,TS1093155202,2569,926.7,05-03-2025,06-03-2025,Sell,State Street,BRK001,Custodian
S4750D,CST593308,HQ0318751038,6337,136.41,18-04-2025,21-04-2025,Buy,Northern Trust,BRK003,Custodian
C2852H,CST143037,GX0156694340,2106,943.54,22-01-2025,25-01-2025,Sell,George-Chan,BRK003,Custodian
H6682L,CST123623,EI1135621745,578,728.34,06-03-2025,07-03-2025,Buy,HDFC Custodian,BRK004,Custodian
F9515K,CST233459,JY0426214508,5520,427.51,23-04-2025,25-04-2025,Sell,BNY Mellon,BRK004,Custodian
O3452R,CST773082,QM2725286087,5940,118.28,02-03-2025,05-03-2025,Sell,BNY Mellon,BRK004,Custodian
V6921Z,CST360261,OD6437039896,8309,455.18,01-04-2025,04-04-2025,Sell,Northern Trust,BRK003,Custodian
P7675U,CST745360,HL0706571625,3226,245.91,24-05-2025,25-05-2025,Sell,BNY Mellon,BRK002,Custodian
O4919B,CST593975,WK2335713105,5918,734.42,22-04-2025,23-04-2025,Buy,State Street,BRK004,Custodian
M8932J,CST110654,DI5874857379,8544,544.15,24-02-2025,27-02-2025,Buy,State Street,BRK001,Custodian
M8423R,CST736257,QG3112605665,3686,712.1,15-05-2025,18-05-2025,Sell,State Street,BRK004,Custodian
D2592H,CST523639,IM9837456734,449,318.78,28-03-2025,31-03-2025,Sell,BNY Mellon,BRK002,Custodian
D5845Y,CST456748,YL7277169394,6895,714.33,10-06-2025,13-06-2025,Buy,State Street,BRK001,Custodian
C4325K,CST430874,TN9753891935,8292,593.44,26-05-2025,29-05-2025,Sell,State Street,BRK002,Custodian
O1617V,CST727999,VA1137001809,628,451.85,23-05-2025,25-05-2025,Sell,HDFC Custodian,BRK002,Custodian
I7599Q,CST194680,DH7061019287,1262,193.12,06-02-2025,07-02-2025,Sell,State Street,BRK004,Custodian
Z1393F,CST259719,IB9233236902,9958,177.47,04-05-2025,05-05-2025,Sell,HDFC Custodian,BRK003,Custodian
T2942I,CST465235,RP9333142120,6094,829.51,16-05-2025,17-05-2025,Buy,HDFC Custodian,BRK003,Custodian
F3381Z,CST856033,NV8638573581,5844,446.33,23-03-2025,26-03-2025,Buy,Northern Trust,BRK003,Custodian
U3393H,CST181736,LH8804567400,3921,607.51,16-01-2025,18-01-2025,Sell,BNY Mellon,BRK004,Custodian
J9376V,CST926239,CT9806678771,8727,146.52,20-05-2025,23-05-2025,Sell,BNY Mellon,BRK004,Custodian
N2359Q,CST337962,EU2211503600,1774,895.17,08-01-2025,11-01-2025,Sell,HDFC Custodian,BRK003,Custodian
V5623Q,CST900440,BF0709305134,7854,801.94,07-05-2025,09-05-2025,Sell,"Lyons, Barnett and Watson",BRK002,Custodian
X2287G,CST570881,BZ9191093248,550,685.37,17-06-2025,18-06-2025,Sell,State Street,BRK002,Custodian
C9339M,CST678511,XK2981262053,2549,814.96,24-02-2025,27-02-2025,Buy,HDFC Custodian,BRK004,Custodian
K3625G,CST285922,VT1126090274,429,224.03,03-01-2025,06-01-2025,Sell,State Street,BRK004,Custodian
S2192P,CST841112,GG2905817690,3230,810.34,19-01-2025,22-01-2025,Sell,BNY Mellon,BRK001,Custodian
D8465V,CST847644,NO3461904461,6153,125.66,10-04-2025,12-04-2025,Sell,BNY Mellon,BRK002,Custodian
C7281N,CST657938,VL9287967467,2731,260.92,10-02-2025,12-02-2025,Sell,Northern Trust,BRK003,Custodian
X3360A,CST676812,YD9171284528,2482,277.21,02-04-2025,04-04-2025,Sell,HDFC Custodian,BRK001,Custodian
H6441W,CST449321,BG3894717053,1942,68.79,27-02-2025,02-03-2025,Sell,Northern Trust,BRK002,Custodian
E5175T,CST824451,YQ7615047488,7237,462.82,03-06-2025,04-06-2025,Buy,HDFC Custodian,BRK001,Custodian
H6500W,CST755832,VC0414420503,7386,807.24,24-04-2025,26-04-2025,Sell,Alvarado Group,BRK003,Custodian
H4043S,CST538215,SH9502799800,6303,188.57,17-02-2025,18-02-2025,Sell,Northern Trust,BRK002,Custodian
N3939E,CST246878,HP3552998706,2357,396.97,15-04-2025,16-04-2025,Buy,State Street,BRK003,Custodian
S7831C,CST688540,QJ6030946048,1607,880.78,25-12-2024,26-12-2024,Buy,Wright Inc,BRK004,Custodian
F1040O,CST620117,OP6676561005,3023,420.87,03-03-2025,05-03-2025,Sell,State Street,BRK003,Custodian
F6105I,CST625163,EW9543363531,4421,128.43,21-05-2025,24-05-2025,Buy,Northern Trust,BRK002,Custodian
L8892P,CST315249,RW6446169505,9006,382.87,24-02-2025,27-02-2025,Sell,Northern Trust,BRK003,Custodian
G8721X,CST228813,ZA2599987230,6203,410.32,21-02-2025,23-02-2025,Sell,State Street,BRK003,Custodian
D6279C,CST553933,SB5196757326,2431,832.7,12-05-2025,14-05-2025,Sell,BNY Mellon,BRK002,Custodian
O9718G,CST818437,YU3530142789,468,625.73,02-06-2025,03-06-2025,Buy,BNY Mellon,BRK003,Custodian
W3283T,CST126258,EZ5877992922,6822,203.27,01-06-2025,03-06-2025,Buy,BNY Mellon,BRK003,Custodian
J5801D,CST819859,FO7112164565,7221,886.96,06-03-2025,08-03-2025,Sell,Northern Trust,BRK001,Custodian
T4872C,CST645839,UE7090459221,5449,479.24,06-05-2025,08-05-2025,Buy,State Street,BRK002,Custodian
L1011O,CST997219,HK9659354043,3614,171.07,21-04-2025,24-04-2025,Buy,Northern Trust,BRK002,Custodian
T7032Z,CST598138,FU9456082768,8890,579.98,01-03-2025,02-03-2025,Sell,Northern Trust,BRK003,Custodian
P2829B,CST814206,VV9430125388,7740,346.09,02-01-2025,03-01-2025,Sell,BNY Mellon,BRK002,Custodian
K1484C,CST286004,YQ2707763350,5632,756.92,17-03-2025,20-03-2025,Sell,State Street,BRK002,Custodian
S1232L,CST103508,SX2307864130,7306,671.24,02-01-2025,04-01-2025,Sell,State Street,BRK001,Custodian
H1890W,CST214455,EZ3038275592,8221,836.38,14-01-2025,16-01-2025,Buy,BNY Mellon,BRK004,Custodian
F5436L,CST789366,TX6686834692,8930,690.09,09-06-2025,10-06-2025,Buy,"Potts, Cox and Anderson",BRK002,Custodian
Z3415F,CST899049,ZY2589540553,4854,355.45,17-01-2025,18-01-2025,Buy,Kirby Inc,BRK004,Custodian
V4363M,CST257222,CF2170411946,8779,789.54,14-03-2025,15-03-2025,Buy,HDFC Custodian,BRK004,Custodian
V1617W,CST432151,CH6747705045,3345,738.33,10-03-2025,13-03-2025,Buy,BNY Mellon,BRK003,Custodian
D8018B,CST345356,VX9411387496,2344,112.2,04-06-2025,05-06-2025,Buy,State Street,BRK003,Custodian
Y6528K,CST758735,WI6285034391,5877,916.92,17-04-2025,20-04-2025,Buy,State Street,BRK001,Custodian
F1445Z,CST658102,LN9711759706,7212,774.97,08-05-2025,09-05-2025,Buy,BNY Mellon,BRK003,Custodian
B8733X,CST640973,ZD0317425021,1340,556.78,15-01-2025,16-01-2025,Buy,BNY Mellon,BRK002,Custodian
W1806J,CST535882,YC5983225242,1360,695.28,17-02-2025,20-02-2025,Sell,State Street,BRK004,Custodian
A6372M,CST258056,AP1701056914,2232,265.19,11-04-2025,14-04-2025,Buy,HDFC Custodian,BRK004,Custodian
M1960U,CST985539,XV4270667589,5797,93.19,14-03-2025,16-03-2025,Sell,HDFC Custodian,BRK004,Custodian
H6649F,CST501492,ZL1555500702,6916,669.44,08-02-2025,11-02-2025,Buy,BNY Mellon,BRK002,Custodian
L3551L,CST165945,VA0979980294,2002,146.27,07-05-2025,10-05-2025,Buy,HDFC Custodian,BRK003,Custodian
F5655Q,CST543541,GS9109204457,4893,72.58,23-12-2024,26-12-2024,Sell,BNY Mellon,BRK003,Custodian
M6471P,CST790431,TO6408194396,2927,226.16,14-06-2025,15-06-2025,Sell,State Street,BRK004,Custodian
B4254I,CST104564,CG8904400706,9755,185.06,20-05-2025,21-05-2025,Sell,State Street,BRK003,Custodian
K2493I,CST452767,XT1951651308,6840,737.33,12-03-2025,14-03-2025,Buy,State Street,BRK001,Custodian
P3689C,CST766451,SR0988846096,3766,150.76,13-06-2025,14-06-2025,Sell,State Street,BRK003,Custodian
B6255O,CST543038,QG3671635220,3708,952.32,19-03-2025,22-03-2025,Sell,BNY Mellon,BRK002,Custodian
E8538H,CST897922,DQ6235146924,2054,448.99,04-01-2025,05-01-2025,Sell,BNY Mellon,BRK004,Custodian
I4689H,CST545015,TC3038362314,2825,751.01,03-04-2025,06-04-2025,Sell,State Street,BRK001,Custodian
D4117M,CST445306,XA3157737775,2176,182.69,10-02-2025,11-02-2025,Sell,HDFC Custodian,BRK004,Custodian
K2288U,CST190141,MX5020065317,4601,859.56,16-02-2025,18-02-2025,Buy,Northern Trust,BRK001,Custodian
C2723S,CST104631,VO3336795097,6796,889.21,11-04-2025,13-04-2025,Buy,HDFC Custodian,BRK001,Custodian
G1952Q,CST293647,VS9935999133,8150,265.85,04-04-2025,06-04-2025,Buy,BNY Mellon,BRK003,Custodian
F5045L,CST994604,RL6937485487,5711,331.92,15-06-2025,16-06-2025,Sell,BNY Mellon,BRK004,Custodian
V3423O,CST291324,LV8233944147,1333,96.1,28-05-2025,29-05-2025,Sell,State Street,BRK003,Custodian
Y2208E,CST483525,VP5482837781,6899,829.04,16-02-2025,19-02-2025,Buy,BNY Mellon,BRK001,Custodian
E1170E,CST805620,KN8105841976,3260,581.53,06-04-2025,07-04-2025,Buy,Northern Trust,BRK002,Custodian
H2544L,CST401699,SR1782486308,1801,636.59,17-01-2025,20-01-2025,Buy,State Street,BRK001,Custodian
F4504O,CST693892,YO9289132550,7072,475.08,06-02-2025,07-02-2025,Buy,Northern Trust,BRK002,Custodian
D4997X,CST310567,VM9471221612,6048,461.4,20-03-2025,22-03-2025,Sell,HDFC Custodian,BRK002,Custodian
V4040J,CST979149,ZS3755630699,3282,263.55,03-04-2025,06-04-2025,Buy,State Street,BRK002,Custodian
J1981J,CST385450,HK0432504996,326,781.28,15-02-2025,17-02-2025,Sell,HDFC Custodian,BRK002,Custodian
