settlement_id,sender_id,receiver_id,security_id,settlement_date
SETT3595,bnpp7891,msly3284,SEC1697,2025-07-01
SETT7646,bnpp7891,gsch9157,SEC6342,2025-07-26
SETT9201,msly3284,bnpp7891,SEC1574,2025-08-11
SETT1450,jpmc7624,msly3284,SEC9981,2025-08-10
SETT4541,msly3284,bnym4392,SEC9300,2025-08-04
SETT7301,bnpp7891,jpmc7624,SEC7709,2025-07-14
SETT2322,gsch9157,msly3284,SEC8741,2025-08-20
SETT7571,msly3284,jpmc7624,SEC6392,2025-07-08
SETT7492,bnym4392,msly3284,SEC9944,2025-08-15
SETT1601,bnym4392,jpmc7624,SEC7315,2025-07-14
SETT1231,bnpp7891,bnym4392,SEC3498,2025-07-13
SETT8816,bnym4392,bnpp7891,SEC1449,2025-08-03
SETT2641,gsch9157,jpmc7624,SEC3243,2025-07-23
SETT5597,gsch9157,bnym4392,SEC5351,2025-07-12
SETT9638,jpmc7624,bnym4392,SEC2773,2025-07-03
SETT2938,msly3284,gsch9157,SEC1943,2025-08-19
SETT9721,jpmc7624,bnpp7891,SEC7178,2025-07-12
SETT4290,gsch9157,bnpp7891,SEC2534,2025-07-30
SETT2855,jpmc7624,gsch9157,SEC2626,2025-08-05
SETT6262,bnym4392,gsch9157,SEC1809,2025-08-15
