security_id,isin,cusip,instrument
SEC83476316,PH899961209N,899961209,private equity
SEC32466378,AP166144079D,166144079,cash equivalent
SEC92526768,TT712296013U,712296013,commodity
SEC16236506,GO902625175M,902625175,hedge fund
SEC11175111,CC211237471O,211237471,private equity
SEC06202888,CG816999969Q,816999969,equity
SEC07530448,WH380730526H,380730526,private equity
SEC23978461,QO207050595E,207050595,equity
SEC85416912,PM151309800Z,151309800,derivatives
SEC62299738,IR033077656E,033077656,etf
SEC06358328,RT296169750K,296169750,mutual fund
SEC29761625,MT915010475Z,915010475,cash equivalent
SEC24347409,AH298009886P,298009886,fixed income
SEC83195927,QA763634156Q,763634156,mutual fund
SEC33540723,OD849433889I,849433889,private equity
SEC06816856,NV367237496L,367237496,mutual fund
SEC76588608,UX139840791I,139840791,hedge fund
SEC94040575,SM422391772S,422391772,etf
SEC35452554,SA239915783D,239915783,hedge fund
SEC60427503,HN140098990V,140098990,real estate
SEC39713534,GF014561875A,014561875,commodity
SEC54408706,SJ999896877K,999896877,structured product
SEC41935889,QL178669993W,178669993,real estate
SEC80356505,MJ503012622D,503012622,structured product
SEC90086706,DM465709428S,465709428,etf
SEC42818625,FQ199570102W,199570102,equity
SEC17238945,WO993407893K,993407893,real estate
SEC33178664,YT188478900S,188478900,etf
SEC09074285,EZ905009856S,905009856,etf
SEC41341559,HY960588990W,960588990,currency
SEC28590988,QP134737430G,134737430,currency
SEC97582275,QL996084651K,996084651,cash equivalent
SEC54828914,MQ345863940O,345863940,private equity
SEC49519778,GU770221094W,770221094,real estate
SEC15770835,FJ553277789L,553277789,currency
SEC69400195,WM761313375N,761313375,structured product
SEC44603380,FT565851608G,565851608,fixed income
SEC42838516,XD598342542B,598342542,fixed income
SEC53826964,BN386027003L,386027003,currency
SEC41338804,QX037130272M,037130272,equity
SEC07062809,VN692732849Q,692732849,derivatives
SEC30376909,XC374154783X,374154783,cash equivalent
SEC83632787,JI929876507N,929876507,cash equivalent
SEC86593716,IC115787322B,115787322,commodity
SEC18466369,NX698217637G,698217637,commodity
SEC80224851,HK550532492K,550532492,etf
SEC49135226,GJ954812301X,954812301,currency
SEC95275942,JA220628373J,220628373,mutual fund
SEC90499683,IN856624222X,856624222,fixed income
SEC04289209,BP570503700F,570503700,private equity
SEC20125228,WA781732852U,781732852,etf
SEC45304930,SP385496497U,385496497,mutual fund
SEC47880084,EV156581180A,156581180,derivatives
SEC35130648,SE211251736C,211251736,commodity
SEC95768551,AH398162935A,398162935,cash equivalent
SEC83173177,CU285665543V,285665543,private equity
SEC21484824,JO578739749N,578739749,real estate
SEC87795918,UL904532478B,904532478,fixed income
SEC72521965,HG661482753N,661482753,currency
SEC36592448,BI877854177N,877854177,fixed income
SEC95084326,CB389048966F,389048966,derivatives
SEC91784412,VT938705962G,938705962,real estate
SEC49683435,WN442157502Q,442157502,fixed income
SEC96594615,KD178829203M,178829203,structured product
SEC06153969,KV512316394N,512316394,mutual fund
SEC80744213,WT825247078U,825247078,mutual fund
SEC62152014,NR843320210W,843320210,etf
SEC58783198,AO393076546P,393076546,equity
SEC02448522,CL732610013V,732610013,fixed income
SEC57447165,WG533656391E,533656391,commodity
SEC24408638,SI085095770V,085095770,currency
SEC20867261,PQ746260646Q,746260646,structured product
SEC79653318,XQ561100216F,561100216,derivatives
SEC63563961,IW867501443F,867501443,etf
SEC89131773,IA964158225J,964158225,structured product
SEC75964233,BI922299431E,922299431,currency
SEC78838772,YY772461759X,772461759,real estate
SEC38429949,NE197210950V,197210950,private equity
SEC83295786,VS645162133G,645162133,commodity
SEC02808193,VC588801348A,588801348,structured product
SEC17957015,CU927778406P,927778406,cash equivalent
SEC72508367,ZB730387283N,730387283,hedge fund
SEC88262072,ED211441022G,211441022,structured product
SEC72197076,YE441907891W,441907891,structured product
SEC38847251,MS179022418H,179022418,private equity
SEC95059508,QK425968311Q,425968311,hedge fund
SEC93056730,MN195295886B,195295886,real estate
SEC54026709,WL214193078T,214193078,fixed income
SEC90053185,NI613890010G,613890010,real estate
SEC46886048,ED433676938M,433676938,hedge fund
SEC33225754,HL874855665O,874855665,currency
SEC94008735,EC322773295X,322773295,derivatives
SEC21362411,ZJ230342656A,230342656,private equity
SEC08940551,PA494847734P,494847734,commodity
SEC69469810,DE398135302L,398135302,hedge fund
SEC53732572,PI012155602L,012155602,commodity
SEC81696933,TO096090885T,096090885,equity
SEC73731576,YX392118247A,392118247,structured product
SEC17610386,RE141939619E,141939619,etf
SEC23995058,UX009627680E,009627680,structured product
