settlement_id,sender_id,receiver_id,security_id,settlement_date
STL635737,bnym4392,msly3284,SEC96594615,2025-06-25
STL744166,msly3284,bnym4392,SEC81696933,2025-06-25
STL829327,gsch9157,bnym4392,SEC39713534,2025-06-25
STL276191,gsch9157,gsch9157,SEC21362411,2025-06-25
STL479544,bnym4392,bnym4392,SEC80224851,2025-06-25
STL886064,bnpp7891,bnym4392,SEC78838772,2025-06-25
STL886064,gsch9157,bnpp7891,SEC23978461,2025-06-25
STL869533,gsch9157,gsch9157,SEC90499683,2025-06-25
STL656658,bnym4392,bnym4392,SEC53826964,2025-06-25
STL518951,gsch9157,bnpp7891,SEC80224851,2025-06-25
STL865620,bnym4392,jpmc7624,SEC16236506,2025-06-25
STL678720,bnym4392,jpmc7624,SEC80356505,2025-06-25
STL829327,bnym4392,gsch9157,SEC83476316,2025-06-25
STL661095,msly3284,gsch9157,SEC94040575,2025-06-25
STL237838,msly3284,msly3284,SEC33178664,2025-06-25
STL380517,bnpp7891,jpmc7624,SEC44603380,2025-06-25
STL782201,bnym4392,bnym4392,SEC41341559,2025-06-25
STL183193,jpmc7624,bnym4392,SEC21484824,2025-06-25
STL635737,gsch9157,bnpp7891,SEC60427503,2025-06-25
STL723161,bnym4392,gsch9157,SEC06153969,2025-06-25
STL218395,bnym4392,jpmc7624,SEC73731576,2025-06-25
STL879753,msly3284,bnym4392,SEC81696933,2025-06-25
STL869533,bnym4392,bnpp7891,SEC58783198,2025-06-25
STL829327,gsch9157,gsch9157,SEC62299738,2025-06-25
STL719208,bnpp7891,bnpp7891,SEC06153969,2025-06-25
STL979030,msly3284,msly3284,SEC54408706,2025-06-25
STL475049,bnpp7891,bnym4392,SEC94040575,2025-06-25
STL741180,bnym4392,msly3284,SEC20125228,2025-06-25
STL518951,bnym4392,msly3284,SEC47880084,2025-06-25
STL146302,msly3284,msly3284,SEC02448522,2025-06-25
STL834628,bnpp7891,bnym4392,SEC92526768,2025-06-25
STL218395,bnpp7891,jpmc7624,SEC44603380,2025-06-25
STL924936,gsch9157,gsch9157,SEC08940551,2025-06-25
STL911288,gsch9157,jpmc7624,SEC91784412,2025-06-25
STL537804,msly3284,bnym4392,SEC83295786,2025-06-25
STL794465,msly3284,msly3284,SEC29761625,2025-06-25
STL895393,bnpp7891,msly3284,SEC16236506,2025-06-25
STL872161,gsch9157,gsch9157,SEC94008735,2025-06-25
STL924936,bnym4392,bnpp7891,SEC83632787,2025-06-25
STL440862,gsch9157,bnpp7891,SEC81696933,2025-06-25
STL343491,bnpp7891,jpmc7624,SEC76588608,2025-06-25
STL431466,gsch9157,jpmc7624,SEC21362411,2025-06-25
STL430761,msly3284,msly3284,SEC93056730,2025-06-25
STL977406,msly3284,msly3284,SEC78838772,2025-06-25
STL635737,msly3284,bnym4392,SEC41935889,2025-06-25
STL924936,gsch9157,gsch9157,SEC54408706,2025-06-25
STL440862,jpmc7624,bnpp7891,SEC58783198,2025-06-25
STL656658,jpmc7624,bnym4392,SEC17957015,2025-06-25
STL370427,msly3284,msly3284,SEC78838772,2025-06-25
STL728110,jpmc7624,bnym4392,SEC47880084,2025-06-25
STL468319,gsch9157,gsch9157,SEC41341559,2025-06-25
STL572066,jpmc7624,msly3284,SEC15770835,2025-06-25
STL613790,msly3284,msly3284,SEC33540723,2025-06-25
STL924936,jpmc7624,jpmc7624,SEC95768551,2025-06-25
STL196273,gsch9157,jpmc7624,SEC90053185,2025-06-25
STL504077,gsch9157,bnym4392,SEC02808193,2025-06-25
STL502975,bnym4392,bnpp7891,SEC94008735,2025-06-25
STL196273,gsch9157,gsch9157,SEC53732572,2025-06-25
STL137024,bnym4392,gsch9157,SEC81696933,2025-06-25
STL380517,msly3284,msly3284,SEC35130648,2025-06-25
STL336830,gsch9157,gsch9157,SEC11175111,2025-06-25
STL254124,gsch9157,bnym4392,SEC33225754,2025-06-25
STL146302,bnym4392,bnpp7891,SEC62299738,2025-06-25
STL219416,jpmc7624,jpmc7624,SEC91784412,2025-06-25
STL601387,msly3284,jpmc7624,SEC20125228,2025-06-25
STL644492,bnym4392,msly3284,SEC85416912,2025-06-25
STL638920,bnym4392,bnym4392,SEC07062809,2025-06-25
STL719208,bnpp7891,msly3284,SEC42838516,2025-06-25
STL876727,gsch9157,msly3284,SEC38847251,2025-06-25
STL919081,jpmc7624,gsch9157,SEC02808193,2025-06-25
STL822877,jpmc7624,jpmc7624,SEC83476316,2025-06-25
STL196273,gsch9157,bnpp7891,SEC78838772,2025-06-25
STL656658,bnym4392,gsch9157,SEC73731576,2025-06-25
STL993718,gsch9157,jpmc7624,SEC79653318,2025-06-25
STL380517,jpmc7624,jpmc7624,SEC24408638,2025-06-25
STL635737,gsch9157,gsch9157,SEC44603380,2025-06-25
STL564081,gsch9157,bnym4392,SEC80224851,2025-06-25
STL952065,bnym4392,msly3284,SEC18466369,2025-06-25
STL564081,bnym4392,gsch9157,SEC91784412,2025-06-25
STL219416,msly3284,msly3284,SEC83632787,2025-06-25
STL254736,gsch9157,bnym4392,SEC16236506,2025-06-25
STL876727,gsch9157,msly3284,SEC83476316,2025-06-25
STL997118,bnpp7891,msly3284,SEC49135226,2025-06-25
STL723161,msly3284,bnpp7891,SEC92526768,2025-06-25
STL794465,bnpp7891,msly3284,SEC80224851,2025-06-25
STL678720,bnym4392,msly3284,SEC24408638,2025-06-25
STL370427,gsch9157,bnym4392,SEC95275942,2025-06-25
STL722474,bnym4392,jpmc7624,SEC79653318,2025-06-25
STL997118,gsch9157,bnpp7891,SEC11175111,2025-06-25
STL953165,gsch9157,msly3284,SEC41338804,2025-06-25
STL254124,bnym4392,bnym4392,SEC86593716,2025-06-25
STL993718,bnym4392,msly3284,SEC81696933,2025-06-25
STL196273,msly3284,bnym4392,SEC06153969,2025-06-25
STL744166,bnym4392,msly3284,SEC24347409,2025-06-25
STL723671,msly3284,bnpp7891,SEC39713534,2025-06-25
STL678720,gsch9157,bnym4392,SEC95084326,2025-06-25
STL847820,msly3284,bnpp7891,SEC83173177,2025-06-25
STL219416,bnpp7891,jpmc7624,SEC02808193,2025-06-25
STL572066,bnpp7891,gsch9157,SEC96594615,2025-06-25
STL635737,bnpp7891,bnym4392,SEC30376909,2025-06-25
STL518951,bnym4392,msly3284,SEC95059508,2025-06-25
STL125637,bnym4392,gsch9157,SEC83632787,2025-06-25
STL518951,msly3284,bnpp7891,SEC39713534,2025-06-25
STL723671,bnym4392,gsch9157,SEC02448522,2025-06-25
STL993718,gsch9157,bnym4392,SEC35452554,2025-06-25
STL726929,bnym4392,msly3284,SEC38847251,2025-06-25
STL979030,msly3284,jpmc7624,SEC53826964,2025-06-25
STL196273,jpmc7624,msly3284,SEC97582275,2025-06-25
STL997585,bnpp7891,bnym4392,SEC83476316,2025-06-25
STL147873,bnym4392,gsch9157,SEC33225754,2025-06-25
STL518951,gsch9157,bnym4392,SEC81696933,2025-06-25
STL146302,gsch9157,bnpp7891,SEC35452554,2025-06-25
STL316246,jpmc7624,bnym4392,SEC15770835,2025-06-25
STL504077,msly3284,bnpp7891,SEC91784412,2025-06-25
STL879753,bnym4392,bnpp7891,SEC47880084,2025-06-25
STL979030,msly3284,gsch9157,SEC69469810,2025-06-25
STL219416,msly3284,bnym4392,SEC95275942,2025-06-25
STL997585,gsch9157,bnpp7891,SEC35130648,2025-06-25
STL147873,jpmc7624,bnym4392,SEC45304930,2025-06-25
STL518951,bnpp7891,gsch9157,SEC90499683,2025-06-25
STL895393,msly3284,bnpp7891,SEC96594615,2025-06-25
